Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Chăn Lông Cừu Cozy Warm,chan-long-cuu-cozy-warm,"Chăn lông cừu mềm mại, giữ ấm tốt và phù hợp sử dụng trong phòng ngủ vào mùa lạnh. Chất liệu nhẹ, êm và dễ vệ sinh.",CozyNest Home,hg-15-1-4,Chăn mền,"Chăn lông cừu, Mùa đông, Giữ ấm, Phòng ngủ",true,active,BLK-COZY-001,,Title,Default Title,,,,,,,,499000,649000,250000,true,,,,,,shopify,45,deny,1600,g,true,manual,https://placehold.co/600x400/png,1,Ảnh sản phẩm Chăn Lông Cừu Cozy Warm,,false,Chăn Lông Cừu Cozy Warm | CozyNest Home,"Chăn lông cừu mềm mại, giữ ấm tốt và phù hợp sử dụng trong phòng ngủ vào mùa lạnh. Chất liệu nhẹ, êm và dễ vệ sinh.",,1985,,,BLK-COZY-001,Chăn mền CozyNest,Fleece,new,false,Winter,Fleece,CozyNest Home,,
Chăn Cotton Organic Airy,chan-cotton-organic-airy,"Chăn cotton organic thoáng khí, mềm nhẹ và thân thiện với làn da. Phù hợp dùng quanh năm cho phòng ngủ hiện đại.",CozyNest Home,hg-15-1-4,Chăn mền,"Chăn cotton, Organic, Thoáng khí, Phòng ngủ",true,active,BLK-AIRY-002,,Title,Default Title,,,,,,,,579000,729000,290000,true,,,,,,shopify,38,deny,1400,g,true,manual,https://placehold.co/600x400/png,1,Ảnh sản phẩm Chăn Cotton Organic Airy,,false,Chăn Cotton Organic Airy | CozyNest Home,"Chăn cotton organic thoáng khí, mềm nhẹ và thân thiện với làn da. Phù hợp dùng quanh năm cho phòng ngủ hiện đại.",,1985,,,BLK-AIRY-002,Chăn mền CozyNest,Organic Cotton,new,false,All Season,Organic Cotton,CozyNest Home,,
Chăn Nỉ Nhung Velvet Touch,chan-ni-nhung-velvet-touch,"Chăn nỉ nhung có bề mặt mịn, mềm và tạo cảm giác sang trọng. Thích hợp dùng trên giường ngủ hoặc ghế sofa.",CozyNest Home,hg-15-1-4,Chăn mền,"Chăn nỉ, Nhung mềm, Sofa, Giữ ấm",true,active,BLK-VELVET-003,,Title,Default Title,,,,,,,,459000,599000,220000,true,,,,,,shopify,52,deny,1500,g,true,manual,https://placehold.co/600x400/png,1,Ảnh sản phẩm Chăn Nỉ Nhung Velvet Touch,,false,Chăn Nỉ Nhung Velvet Touch | CozyNest Home,"Chăn nỉ nhung có bề mặt mịn, mềm và tạo cảm giác sang trọng. Thích hợp dùng trên giường ngủ hoặc ghế sofa.",,1985,,,BLK-VELVET-003,Chăn mền CozyNest,Velvet,new,false,Winter,Velvet,CozyNest Home,,
Chăn Hè Sợi Tre Bamboo Breeze,chan-he-soi-tre-bamboo-breeze,"Chăn hè làm từ sợi tre nhẹ và thoáng mát, hỗ trợ thấm hút tốt. Phù hợp với thời tiết nóng và phòng điều hòa.",CozyNest Home,hg-15-1-4,Chăn mền,"Chăn hè, Sợi tre, Thoáng mát, Phòng điều hòa",true,active,BLK-BAMBOO-004,,Title,Default Title,,,,,,,,529000,679000,265000,true,,,,,,shopify,41,deny,1100,g,true,manual,https://placehold.co/600x400/png,1,Ảnh sản phẩm Chăn Hè Sợi Tre Bamboo Breeze,,false,Chăn Hè Sợi Tre Bamboo Breeze | CozyNest Home,"Chăn hè làm từ sợi tre nhẹ và thoáng mát, hỗ trợ thấm hút tốt. Phù hợp với thời tiết nóng và phòng điều hòa.",,1985,,,BLK-BAMBOO-004,Chăn mền CozyNest,Bamboo,new,false,Summer,Bamboo,CozyNest Home,,
Chăn Đũi Linen Natural,chan-dui-linen-natural,"Chăn đũi linen mang phong cách tự nhiên, thoáng khí và có độ rủ đẹp. Phù hợp với không gian tối giản và phong cách mộc.",CozyNest Home,hg-15-1-4,Chăn mền,"Chăn linen, Chăn đũi, Tối giản, Phong cách mộc",true,active,BLK-LINEN-005,,Title,Default Title,,,,,,,,649000,829000,330000,true,,,,,,shopify,29,deny,1350,g,true,manual,https://placehold.co/600x400/png,1,Ảnh sản phẩm Chăn Đũi Linen Natural,,false,Chăn Đũi Linen Natural | CozyNest Home,"Chăn đũi linen mang phong cách tự nhiên, thoáng khí và có độ rủ đẹp. Phù hợp với không gian tối giản và phong cách mộc.",,1985,,,BLK-LINEN-005,Chăn mền CozyNest,Linen,new,false,All Season,Linen,CozyNest Home,,
Chăn Trẻ Em Cloudy Bear,chan-tre-em-cloudy-bear,"Chăn trẻ em mềm nhẹ với họa tiết gấu và mây đáng yêu. Kích thước vừa vặn cho giường trẻ em, xe đẩy hoặc giờ ngủ trưa.",CozyNest Home,hg-15-1-4,Chăn mền,"Chăn trẻ em, Họa tiết gấu, Mềm nhẹ, Quà tặng",true,active,BLK-KIDS-006,,Title,Default Title,,,,,,,,329000,429000,160000,true,,,,,,shopify,60,deny,850,g,true,manual,https://placehold.co/600x400/png,1,Ảnh sản phẩm Chăn Trẻ Em Cloudy Bear,,false,Chăn Trẻ Em Cloudy Bear | CozyNest Home,"Chăn trẻ em mềm nhẹ với họa tiết gấu và mây đáng yêu. Kích thước vừa vặn cho giường trẻ em, xe đẩy hoặc giờ ngủ trưa.",,1985,,,BLK-KIDS-006,Chăn mền CozyNest,Microfiber,new,false,Kids,Microfiber,CozyNest Home,,
Chăn Picnic Chống Thấm Outdoor,chan-picnic-chong-tham-outdoor,"Chăn picnic có lớp đáy chống thấm, dễ gấp gọn và thuận tiện mang theo khi đi dã ngoại, cắm trại hoặc ra công viên.",CozyNest Home,hg-12-2-5-2,Chăn mền,"Chăn picnic, Chống thấm, Dã ngoại, Cắm trại",true,active,BLK-OUTDOOR-007,,Title,Default Title,,,,,,,,389000,499000,195000,true,,,,,,shopify,34,deny,1200,g,true,manual,https://placehold.co/600x400/png,1,Ảnh sản phẩm Chăn Picnic Chống Thấm Outdoor,,false,Chăn Picnic Chống Thấm Outdoor | CozyNest Home,"Chăn picnic có lớp đáy chống thấm, dễ gấp gọn và thuận tiện mang theo khi đi dã ngoại, cắm trại hoặc ra công viên.",,1985,,,BLK-OUTDOOR-007,Chăn mền CozyNest,Water Resistant,new,false,Outdoor,Water Resistant,CozyNest Home,,
Chăn Dệt Kim Chunky Knit,chan-det-kim-chunky-knit,Chăn dệt kim sợi lớn tạo điểm nhấn ấm cúng cho phòng khách và phòng ngủ. Phù hợp làm chăn phủ sofa hoặc đồ trang trí.,CozyNest Home,hg-15-1-4,Chăn mền,"Chăn dệt kim, Chunky knit, Sofa, Trang trí",true,active,BLK-KNIT-008,,Title,Default Title,,,,,,,,799000,999000,420000,true,,,,,,shopify,22,deny,2200,g,true,manual,https://placehold.co/600x400/png,1,Ảnh sản phẩm Chăn Dệt Kim Chunky Knit,,false,Chăn Dệt Kim Chunky Knit | CozyNest Home,Chăn dệt kim sợi lớn tạo điểm nhấn ấm cúng cho phòng khách và phòng ngủ. Phù hợp làm chăn phủ sofa hoặc đồ trang trí.,,1985,,,BLK-KNIT-008,Chăn mền CozyNest,Knitted,new,false,Decor,Knitted,CozyNest Home,,
Chăn Microfiber SoftCare,chan-microfiber-softcare,"Chăn microfiber mềm, nhẹ, nhanh khô và dễ chăm sóc. Sản phẩm phù hợp sử dụng hằng ngày trong gia đình.",CozyNest Home,hg-15-1-4,Chăn mền,"Chăn microfiber, Mềm nhẹ, Nhanh khô, Gia đình",true,active,BLK-SOFT-009,,Title,Default Title,,,,,,,,359000,459000,175000,true,,,,,,shopify,68,deny,1250,g,true,manual,https://placehold.co/600x400/png,1,Ảnh sản phẩm Chăn Microfiber SoftCare,,false,Chăn Microfiber SoftCare | CozyNest Home,"Chăn microfiber mềm, nhẹ, nhanh khô và dễ chăm sóc. Sản phẩm phù hợp sử dụng hằng ngày trong gia đình.",,1985,,,BLK-SOFT-009,Chăn mền CozyNest,Microfiber,new,false,Everyday,Microfiber,CozyNest Home,,
Chăn Chần Bông Hotel Premium,chan-chan-bong-hotel-premium,"Chăn chần bông dày vừa, êm và có thiết kế thanh lịch theo phong cách khách sạn. Phù hợp cho phòng ngủ cao cấp.",CozyNest Home,hg-15-1-4,Chăn mền,"Chăn chần bông, Khách sạn, Cao cấp, Phòng ngủ",true,active,BLK-HOTEL-010,,Title,Default Title,,,,,,,,899000,1199000,480000,true,,,,,,shopify,25,deny,2800,g,true,manual,https://placehold.co/600x400/png,1,Ảnh sản phẩm Chăn Chần Bông Hotel Premium,,false,Chăn Chần Bông Hotel Premium | CozyNest Home,"Chăn chần bông dày vừa, êm và có thiết kế thanh lịch theo phong cách khách sạn. Phù hợp cho phòng ngủ cao cấp.",,1985,,,BLK-HOTEL-010,Chăn mền CozyNest,Quilted,new,false,Premium,Quilted,CozyNest Home,,
